#
# plants.csv - default plant matrix for Botany plugin
#
# format: 5 fields separated by "," - no spaces allowed
# - 1: Biome name
# - 2: Material:Data byte for the thing to be planted
# - 3: Material for the block to be planted ontop of
# - 4: Material:Data byte for the thing to scan for
# - 5: double value for plant density
#
# byte values are required for fields 2 and 4. byte values
# are not allowed in field 3.
#
# empty lines and lines with a # in any location are skipped

# this next line help to determine if this file may be out of date - it will notify
# you on the console if this file needs upgrading. If you have custom modifications
# and/or do not want to be notified, just delete this line.
VERSION,2,,,
JUNGLE,POTATO:0,SOIL,POTATO:4,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:5,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:6,0.50000
JUNGLE,POTATO:0,SOIL,POTATO:7,0.50000
JUNGLE,WATER_LILY:0,WATER,WATER_LILY:0,0.15000
JUNGLE,WATER_LILY:0,WATER,LONG_GRASS:2,0.02500
JUNGLE,CROPS:0,SOIL,CROPS:0,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:1,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:2,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:3,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:4,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:5,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:6,0.50000
JUNGLE,CROPS:0,SOIL,CROPS:7,0.50000

PLAINS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.75000
PLAINS,DOUBLE_PLANT:2,GRASS,DOUBLE_PLANT:2,0.01000
PLAINS,SUGAR_CANE_BLOCK:0,SAND,SUGAR_CANE_BLOCK:0,0.15000
PLAINS,CROPS:0,SOIL,CROPS:0,0.50000
PLAINS,CROPS:0,SOIL,CROPS:1,0.50000
PLAINS,CROPS:0,SOIL,CROPS:2,0.50000
PLAINS,CROPS:0,SOIL,CROPS:3,0.50000
PLAINS,CROPS:0,SOIL,CROPS:4,0.50000
PLAINS,CROPS:0,SOIL,CROPS:5,0.50000
PLAINS,CROPS:0,SOIL,CROPS:6,0.50000
PLAINS,CROPS:0,SOIL,CROPS:7,0.50000
PLAINS,WATER_LILY:0,WATER,WATER_LILY:0,0.35000
PLAINS,WATER_LILY:0,WATER,LONG_GRASS:2,0.10000
PLAINS,CARROT:0,SOIL,CARROT:0,0.50000
PLAINS,CARROT:0,SOIL,CARROT:1,0.50000
PLAINS,CARROT:0,SOIL,CARROT:2,0.50000
PLAINS,CARROT:0,SOIL,CARROT:3,0.50000
PLAINS,CARROT:0,SOIL,CARROT:4,0.50000
PLAINS,CARROT:0,SOIL,CARROT:5,0.50000
PLAINS,CARROT:0,SOIL,CARROT:6,0.50000
PLAINS,CARROT:0,SOIL,CARROT:7,0.50000
PLAINS,POTATO:0,SOIL,POTATO:0,0.50000
PLAINS,POTATO:0,SOIL,POTATO:1,0.50000
PLAINS,POTATO:0,SOIL,POTATO:2,0.50000
PLAINS,POTATO:0,SOIL,POTATO:3,0.50000
PLAINS,POTATO:0,SOIL,POTATO:4,0.50000
PLAINS,POTATO:0,SOIL,POTATO:5,0.50000
PLAINS,POTATO:0,SOIL,POTATO:6,0.50000
PLAINS,POTATO:0,SOIL,POTATO:7,0.50000


HELL,BROWN_MUSHROOM:0,SOUL_SAND,BROWN_MUSHROOM:0,0.05000
HELL,RED_MUSHROOM:0,SOUL_SAND,RED_MUSHROOM:0,0.05000
HELL,BROWN_MUSHROOM:0,NETHERRACK,BROWN_MUSHROOM:0,0.05000
HELL,RED_MUSHROOM:0,NETHERRACK,RED_MUSHROOM:0,0.05000

